name,sysname,reaction
"3.2.1.50","alpha-N-acetyl-D-glucosaminide N-acetylglucosaminohydrolase","Hydrolysis of terminal non-reducing N-acetyl-D-glucosamine residues in N-acetyl-alpha-D-glucosaminides"
"3.2.1.55","alpha-L-arabinofuranoside non-reducing end alpha-L-arabinofuranosidase","Hydrolysis of terminal non-reducing alpha-L-arabinofuranoside residues in alpha-L-arabinosides."
"3.2.1.130","glycoprotein glucosylmannohydrolase (configuration-retaining)","GlcMan9GlcNAc2-[protein] + H2O = Man8GlcNAc2-[protein] (isomer 8A1,2,3B1,2) + alpha-D-glucosyl-(1->3)-alpha-D-mannopyranose"
"2.4.1.33","GDP-alpha-D-mannuronate:mannuronan D-mannuronatetransferase","GDP-alpha-D-mannuronate + [(1->4)-beta-D-mannuronosyl]n = GDP + [(1->4)-beta-D-mannuronosyl]n+1 [RN:R08692]"
"2.4.1.173","UDP-glucose:sterol 3-O-beta-D-glucosyltransferase","UDP-glucose + a sterol = UDP + a sterol 3-beta-D-glucoside [RN:R02113]"
"3.2.1.166","heparan sulfate N-sulfo-D-glucosamine endoglucanase","endohydrolysis of (1->4)-beta-D-glycosidic bonds of heparan sulfate chains in heparan sulfate proteoglycan"
"2.4.1.140","sucrose:(1->6)[(1->3)]-alpha-D-glucan 6(3)-alpha-D-glucosyltransferase","Transfers alternately an alpha-D-glucosyl residue from sucrose to the 6-position and the 3-position of the non-reducing terminal residue of an alpha-D-glucan, thus producing a glucan having alternating alpha-(1->6)- and alpha-(1->3)-linkages"
"3.2.1.149","6-O-(beta-D-xylopyranosyl)-beta-D-glucopyranoside 6-O-(beta-D-xylosyl)-beta-D-glucohydrolase","a 6-O-(beta-D-xylopyranosyl)-beta-D-glucopyranoside + H2O = 6-O-(beta-D-xylopyranosyl)-beta-D-glucopyranose + an alcohol [RN:R05788]"
"2.4.1.259","dolichyl beta-D-mannosyl phosphate:alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol 2-alpha-D-mannosyltransferase (configuration-inverting)","dolichyl beta-D-mannosyl phosphate + alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol = alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + dolichyl phosphate [RN:R06259]"
"4.2.2.10","(1->4)-6-O-methyl-alpha-D-galacturonan lyase","Eliminative cleavage of (1->4)-alpha-D-galacturonan methyl ester to give oligosaccharides with 4-deoxy-6-O-methyl-alpha-D-galact-4-enuronosyl groups at their non-reducing ends"
"2.4.1.159","UDP-beta-L-rhamnose:flavonol-3-O-beta-D-glucoside 6''-O-L-rhamnosyltransferase (configuration-inverting)","UDP-beta-L-rhamnose + a flavonol 3-O-beta-D-glucoside = UDP + a flavonol 3-O-[alpha-L-rhamnosyl-(1->6)-beta-D-glucoside] [RN:R03880]"
"2.4.1.352","2-O-(alpha-D-glucopyranosyl)-D-glycerate:phosphate alpha-D-glucosyltransferase (configuration-retaining)","2-O-(alpha-D-glucopyranosyl)-D-glycerate + phosphate = alpha-D-glucopyranose 1-phosphate + D-glycerate [RN:R11959]"
"3.2.1.204","1,3-alpha-isomaltohydrolase (configuration-retaining)","cyclobis-(1->6)-alpha-nigerosyl + 2 H2O = 2 isomaltose (overall reaction) [RN:R11788];"
"3.2.1.26","beta-D-fructofuranoside fructohydrolase","Hydrolysis of terminal non-reducing beta-D-fructofuranoside residues in beta-D-fructofuranosides"
"2.4.1.333","1,2-beta-D-glucan:phosphate alpha-D-glucosyltransferase","[(1->2)-beta-D-glucosyl]n + phosphate = [(1->2)-beta-D-glucosyl]n-1 + alpha-D-glucose 1-phosphate"
"3.2.1.54","cyclomaltodextrin dextrin-hydrolase (ring-opening)","cyclomaltodextrin + H2O = linear maltodextrin [RN:R03122 R06160]"
"1.11.1.5","ferrocytochrome-c:hydrogen-peroxide oxidoreductase","2 ferrocytochrome c + H2O2 = 2 ferricytochrome c + 2 H2O [RN:R00017]"
"2.4.1.19","(1->4)-alpha-D-glucan:(1->4)-alpha-D-glucan 4-alpha-D-[(1->4)-alpha-D-glucano]-transferase (cyclizing)","Cyclizes part of a (1->4)-alpha-D-glucan chain by formation of a (1->4)-alpha-D-glucosidic bond"
"3.2.1.117","amygdalin beta-D-glucohydrolase","(R)-amygdalin + H2O = (R)-prunasin + D-glucose [RN:R02985]"
"2.4.1.329","sucrose 6F-phosphate:phosphate 1-alpha-D-glucosyltransferase","sucrose 6F-phosphate + phosphate = alpha-D-glucopyranose 1-phosphate + beta-D-fructofuranose 6-phosphate [RN:R10987]"
"2.4.1.7","sucrose:phosphate alpha-D-glucosyltransferase","sucrose + phosphate = D-fructose + alpha-D-glucose 1-phosphate [RN:R00803 R06034]"
"3.2.1.176","4-beta-D-glucan cellobiohydrolase (reducing end)","Hydrolysis of (1->4)-beta-D-glucosidic linkages in cellulose and similar substrates, releasing cellobiose from the reducing ends of the chains."
"3.2.1.83","kappa-carrageenan 4-beta-D-glycanohydrolase (configuration-retaining)","Endohydrolysis of (1->4)-beta-D-linkages between D-galactose 4-sulfate and 3,6-anhydro-D-galactose in kappa-carrageenans"
"2.4.1.45","",""
"3.2.1.23","beta-D-galactoside galactohydrolase","Hydrolysis of terminal non-reducing beta-D-galactose residues in beta-D-galactosides"
"2.4.1.101","UDP-N-acetyl-alpha-D-glucosamine:alpha-D-mannosyl-(1->3)-beta-D-mannosyl-glycoprotein 2-beta-N-acetyl-D-glucosaminyltransferase (configuration-inverting)","UDP-N-acetyl-alpha-D-glucosamine + Man5GlcNAc2-[protein] = UDP + Man5GlcNAc3-[protein] [RN:R05983]"
"2.4.1.34","UDP-glucose:(1->3)-beta-D-glucan 3-beta-D-glucosyltransferase","UDP-glucose + [(1->3)-beta-D-glucosyl]n = UDP + [(1->3)-beta-D-glucosyl]n+1 [RN:R03118 R06020]"
"2.4.1.11","UDP-alpha-D-glucose:glycogen 4-alpha-D-glucosyltransferase (configuration-retaining)","UDP-alpha-D-glucose + [(1->4)-alpha-D-glucosyl]n = UDP + [(1->4)-alpha-D-glucosyl]n+1 [RN:R00292 R06051]"
"4.2.2.5","chondroitin AC lyase","Eliminative degradation of polysaccharides containing 1,4-beta-D-hexosaminyl and 1,3-beta-D-glucuronosyl linkages to disaccharides containing 4-deoxy-beta-D-gluc-4-enuronosyl groups"
"3.2.1.153","beta-(2->1)-D-fructan fructohydrolase","Hydrolysis of terminal, non-reducing (2->1)-linked beta-D-fructofuranose residues in fructans"
"3.2.1.85","6-phospho-beta-D-galactoside 6-phosphogalactohydrolase","a 6-phospho-beta-D-galactoside + H2O = 6-phospho-D-galactose + an alcohol [RN:R03255]"
"2.4.1.340","(1->2)-beta-D-mannan:phosphate beta-D-mannosyl transferase (configuration-inverting)","[(1->2)-beta-D-mannosyl]n + phosphate = [(1->2)-beta-D-mannosyl]n-1 + alpha-D-mannose 1-phosphate [RN:R11397]"
"3.5.1.105","N,N'-diacetylchitobiose acetylhydrolase","N,N'-diacetylchitobiose + H2O = N-acetyl-beta-D-glucosaminyl-(1->4)-D-glucosamine + acetate [RN:R11889]"
"3.2.1.152","","Hydrolysis of the alpha-D-mannosyl-(1->6)-beta-D-mannosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosaminyl sequence of glycoprotein to alpha-D-mannosyl-(1->6)-D-mannose and N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosaminyl sequences"
"3.2.1.67","poly[(1->4)-alpha-D-galacturonide] non-reducing-end galacturonohydrolase","[(1->4)-alpha-D-galacturonide]n + H2O = [(1->4)-alpha-D-galacturonide]n-1 + D-galacturonate [RN:R04320 R06201]"
"2.4.1.10","sucrose:[6)-beta-D-fructofuranosyl-(2->]n alpha-D-glucopyranoside 6-beta-D-fructosyltransferase","sucrose + [6)-beta-D-fructofuranosyl-(2->]n alpha-D-glucopyranoside = D-glucose + [6)-beta-D-fructofuranosyl-(2->]n+1 alpha-D-glucopyranoside [RN:R05140 R06079]"
"2.4.1.339","beta-D-mannopyranosyl-(1->2)-D-mannopyranose:phosphate alpha-D-mannosyltransferase","beta-D-mannopyranosyl-(1->2)-D-mannopyranose + phosphate = D-mannopyranose + alpha-D-mannose 1-phosphate [RN:R11398]"
"3.2.1.62","glycosyl-N-acylsphingosine glycohydrolase","a glycosyl-N-acylsphingosine + H2O = a ceramide + a sugar [RN:R01501]"
"3.2.1.40","alpha-L-rhamnoside rhamnohydrolase","Hydrolysis of terminal non-reducing alpha-L-rhamnose residues in alpha-L-rhamnosides"
"2.4.1.27","UDP-alpha-D-glucose:DNA beta-D-glucosyltransferase (configuration-inverting)","Transfers a beta-D-glucosyl residue from UDP-alpha-D-glucose to an hydroxymethylcytosine residue in DNA"
"3.1.3.16","protein-serine/threonine-phosphate phosphohydrolase","[a protein]-serine/threonine phosphate + H2O = [a protein]-serine/threonine + phosphate [RN:R00164]"
"3.2.1.136","glucuronoarabinoxylan 4-beta-D-xylanohydrolase","Endohydrolysis of (1->4)-beta-D-xylosyl links in some glucuronoarabinoxylans"
"1.11.1.11","L-ascorbate:hydrogen-peroxide oxidoreductase","2 L-ascorbate + H2O2 + 2 H+ = L-ascorbate + L-dehydroascorbate + 2 H2O (overall reaction) [RN:R00644];"
"3.2.1.172","2-O-(4-deoxy-beta-L-threo-hex-4-enopyranuronosyl)-alpha-L-rhamnopyranose hydrolase","2-O-(4-deoxy-beta-L-threo-hex-4-enopyranuronosyl)-alpha-L-rhamnopyranose + H2O = 5-dehydro-4-deoxy-D-glucuronate + L-rhamnopyranose"
"2.4.1.142","GDP-alpha-D-mannose:N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphosphodolichol 4-beta-D-mannosyltransferase (configuration-inverting)","GDP-alpha-D-mannose + N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphosphodolichol = GDP + beta-D-mannosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphosphodolichol [RN:R04502 R05972]"
"3.2.1.105","strictosidine beta-D-glucohydrolase","strictosidine + H2O = D-glucose + strictosidine aglycone [RN:R03820]"
"2.4.1.97","(1->3)-beta-D-glucan:phosphate alpha-D-glucosyltransferase","[(1->3)-beta-D-glucosyl]n + phosphate = [(1->3)-beta-D-glucosyl]n-1 + alpha-D-glucose 1-phosphate [RN:R03116 R06018]"
"2.4.1.289","dTDP-6-deoxy-beta-L-mannose:N-acetyl-alpha-D-glucosaminyl-diphospho-trans,octacis-decaprenol 3-alpha-L-rhamnosyltransferase","dTDP-6-deoxy-beta-L-mannose + N-acetyl-alpha-D-glucosaminyl-diphospho-trans,octacis-decaprenol = dTDP + alpha-L-rhamnopyranosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-diphospho-trans,octacis-decaprenol [RN:R10175 R12077]"
"3.2.1.46","D-galactosyl-N-acylsphingosine galactohydrolase","a D-galactosyl-N-acylsphingosine + H2O = D-galactose + a ceramide [RN:R03617]"
"3.2.1.197","beta-1,2-D-mannoside mannohydrolase","beta-D-mannopyranosyl-(1->2)-beta-D-mannopyranosyl-(1->2)-D-mannopyranose + H2O = beta-D-mannopyranosyl-(1->2)-D-mannopyranose + alpha-D-mannopyranose [RN:R11544]"
"3.2.1.141","4-alpha-D-[(1->4)-alpha-D-glucano]trehalose glucanohydrolase (trehalose-producing)","hydrolysis of (1->4)-alpha-D-glucosidic linkage in 4-alpha-D-[(1->4)-alpha-D-glucanosyl]n trehalose to yield trehalose and (1->4)-alpha-D-glucan [RN:R11256]"
"2.4.1.216","alpha,alpha-trehalose 6-phosphate:phosphate beta-D-glucosyltransferase","alpha,alpha-trehalose 6-phosphate + phosphate = glucose 6-phosphate + beta-D-glucose 1-phosphate [RN:R05767 R06044]"
"2.4.1.5","sucrose:(1->6)-alpha-D-glucan 6-alpha-D-glucosyltransferase","sucrose + [(1->6)-alpha-D-glucosyl]n = D-fructose + [(1->6)-alpha-D-glucosyl]n+1 [RN:R02120 R06066]"
"3.2.1.165","chitosan exo-(1->4)-beta-D-glucosaminidase","Hydrolysis of chitosan or chitosan oligosaccharides to remove successive D-glucosamine residues from the non-reducing termini [RN:R06225 R08715]"
"3.2.1.175","beta-D-glucopyranosyl abscisate glucohydrolase","D-glucopyranosyl abscisate + H2O = D-glucose + abscisate [RN:R09723]"
"2.4.99.18","dolichyl-diphosphooligosaccharide:protein-L-asparagine N-beta-D-oligopolysaccharidotransferase","dolichyl diphosphooligosaccharide + [protein]-L-asparagine = dolichyl diphosphate + a glycoprotein with the oligosaccharide chain attached by N-beta-D-glycosyl linkage to a protein L-asparagine [RN:R04216]"
"2.4.1.334","1,3-alpha-D-glucan:phosphate beta-D-glucosyltransferase","[(1->3)-alpha-D-glucosyl]n + phosphate = [(1->3)-alpha-D-glucosyl]n-1 + beta-D-glucose 1-phosphate"
"2.4.1.290","UDP-N-acetyl-alpha-D-galactosamine:N,N'-diacetyl-alpha-D-bacillosaminyl-diphospho-tritrans,heptacis-undecaprenol 3-alpha-N-acetyl-D-galactosaminyltransferase","UDP-N-acetyl-alpha-D-galactosamine + N,N'-diacetyl-alpha-D-bacillosaminyl-diphospho-tritrans,heptacis-undecaprenol = UDP + N-acetyl-D-galactosaminyl-alpha-(1->3)-N,N'-diacetyl-alpha-D-bacillosaminyl-diphospho-tritrans,heptacis-undecaprenol [RN:R10188]"
"3.2.1.122","alpha-maltose-6'-phosphate 6-phosphoglucohydrolase","alpha-maltose 6'-phosphate + H2O = D-glucose + D-glucose 6-phosphate [RN:R00838 R06115]"
"2.4.1.46","UDP-alpha-D-galactose:1,2-diacyl-sn-glycerol 3-beta-D-galactosyltransferase","UDP-alpha-D-galactose + a 1,2-diacyl-sn-glycerol = UDP + a 1,2-diacyl-3-O-(beta-D-galactosyl)-sn-glycerol [RN:R02691]"
"3.2.1.60","4-alpha-D-glucan maltotetraohydrolase","Hydrolysis of (1->4)-alpha-D-glucosidic linkages in amylaceous polysaccharides, to remove successive maltotetraose residues from the non-reducing chain ends"
"1.1.3.4","beta-D-glucose:oxygen 1-oxidoreductase","beta-D-glucose + O2 = D-glucono-1,5-lactone + H2O2 [RN:R01522]"
"2.4.1.17","UDP-alpha-D-glucuronate beta-D-glucuronosyltransferase (acceptor-unspecific; configuration-inverting)","UDP-alpha-D-glucuronate + acceptor = UDP + acceptor beta-D-glucuronoside [RN:R09428]"
"2.4.1.49","(1->4)-beta-D-glucan:phosphate alpha-D-glucosyltransferase","[(1->4)-beta-D-glucosyl]n + phosphate = [(1->4)-beta-D-glucosyl]n-1 + alpha-D-glucose 1-phosphate [RN:R02888 R06022]"
"2.4.1.120","UDP-alpha-D-glucose:sinapate D-glucosyltransferase","UDP-alpha-D-glucose + sinapate = UDP + 1-O-sinapoyl-beta-D-glucose [RN:R02380]"
"1.1.3.13","alcohol:oxygen oxidoreductase (H2O2-forming)","a primary alcohol + O2 = an aldehyde + H2O2 [RN:R00637]"
"2.4.1.155","UDP-N-acetyl-alpha-D-glucosamine:N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->6)-beta-D-mannosyl-glycoprotein 6-beta-N-acetyl-D-glucosaminyltransferase (configuration-inverting)","UDP-N-acetyl-alpha-D-glucosamine + beta-D-GlcNAc-(1->2)-[beta-D-GlcNAc-(1->4)]-alpha-D-Man-(1->3)-[beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc-N-Asn-[protein] = UDP + beta-D-GlcNAc-(1->2)-[beta-D-GlcNAc-(1->4)]-alpha-D-Man-(1->3)-[beta-D-GlcNAc-(1->2)-[beta-D-GlcNAc-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc-N-Asn-[protein] [RN:R05991]"
"2.4.1.9","sucrose:(2->1)-beta-D-fructan 1-beta-D-fructosyltransferase","sucrose + [(2->1)-beta-D-fructosyl]n = glucose + [(2->1)-beta-D-fructosyl]n+1 [RN:R04194 R06059]"
"2.4.1.189","UDP-alpha-D-glucuronate:luteolin 7-O-glucuronosyltransferase (configuration-inverting)","UDP-alpha-D-glucuronate + luteolin = UDP + luteolin 7-O-beta-D-glucuronide [RN:R03589]"
"2.4.1.67","alpha-D-galactosyl-(1->3)-1D-myo-inositol:raffinose galactosyltransferase","alpha-D-galactosyl-(1->3)-1D-myo-inositol + raffinose = myo-inositol + stachyose [RN:R03418 R06042]"
"2.4.1.40","UDP-N-acetyl-alpha-D-galactosamine:glycoprotein-alpha-L-fucosyl-(1->2)-D-galactose 3-N-acetyl-D-galactosaminyltransferase","UDP-N-acetyl-alpha-D-galactosamine + glycoprotein-alpha-L-fucosyl-(1->2)-D-galactose = UDP + glycoprotein-N-acetyl-alpha-D-galactosaminyl-(1->3)-[alpha-L-fucosyl-(1->2)]-D-galactose [RN:R04423]"
"2.4.1.143","UDP-N-acetyl-alpha-D-glucosamine:alpha-D-mannosyl-(1->6)-beta-D-mannosyl-glycoprotein 2-beta-N-acetyl-D-glucosaminyltransferase (configuration-inverting)","UDP-N-acetyl-alpha-D-glucosamine + beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc-N-Asn-[protein] = UDP + beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->3)-[beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc-N-Asn-[protein] [RN:R05985]"
"2.4.1.359","2-O-alpha-D-glucopyranosyl-glycerol:phosphate alpha-D-glucosyltransferase (configuration-retaining)","2-O-alpha-D-glucopyranosyl-glycerol + phosphate = alpha-D-glucose 1-phosphate + glycerol [RN:R12243]"
"2.4.2.39","UDP-D-xylose:xyloglucan 6-alpha-D-xylosyltransferase","Transfers an alpha-D-xylosyl residue from UDP-D-xylose to a glucose residue in xyloglucan, forming an alpha-(1->6)-D-xylosyl-D-glucose linkage"
"3.1.3.12","alpha,alpha-trehalose-6-phosphate phosphohydrolase","alpha,alpha-trehalose 6-phosphate + H2O = alpha,alpha-trehalose + phosphate [RN:R02778 R06228]"
"3.2.1.181","arabinogalactan 3-beta-D-galactanohydrolase","The enzyme specifically hydrolyses beta-1,3-galactan and beta-1,3-galactooligosaccharides"
"2.4.1.91","UDP-glucose:flavonol 3-O-D-glucosyltransferase","UDP-glucose + a flavonol = UDP + a flavonol 3-O-beta-D-glucoside [RN:R03267]"
"2.4.1.56","UDP-N-acetyl-alpha-D-glucosamine:lipopolysaccharide N-acetyl-D-glucosaminyltransferase","UDP-N-acetyl-alpha-D-glucosamine + lipopolysaccharide = UDP + N-acetyl-alpha-D-glucosaminyllipopolysaccharide [RN:R01996]"
"4.2.2.9","(1->4)-alpha-D-galacturonan reducing-end-disaccharide-lyase","(1,4-alpha-D-galacturonosyl)n = (1,4-alpha-D-galacturonosyl)n-2 + 4-(4-deoxy-alpha-D-galact-4-enuronosyl)-D-galacturonate [RN:R02361 R06240]"
"3.2.1.150","oligoxyloglucan reducing-end cellobiohydrolase","Hydrolysis of cellobiose from the reducing end of xyloglucans consisting of a (1->4)-beta-linked glucan carrying alpha-D-xylosyl groups on O-6 of the glucose residues. To be a substrate, the first residue must be unsubstituted, the second residue may bear a xylosyl group, whether further glycosylated or not, and the third residue, which becomes the new terminus by the action of the enzyme, is preferably xylosylated, but this xylose residue must not be further substituted."
"2.4.1.186","UDP-alpha-D-glucose:glycogenin alpha-D-glucosyltransferase","UDP-alpha-D-glucose + glycogenin = UDP + alpha-D-glucosylglycogenin [RN:R03681]"
"3.2.1.178","porphyran beta-D-galactopyranose-(1->4)-alpha-L-galactopyranose-6-sulfate 4-glycanohydrolase","Hydrolysis of beta-D-galactopyranose-(1->4)-alpha-L-galactopyranose-6-sulfate linkages in porphyran"
"4.2.2.14","(1->4)-beta-D-glucuronan lyase","Eliminative cleavage of (1->4)-beta-D-glucuronans to give oligosaccharides with 4-deoxy-beta-D-gluc-4-enuronosyl groups at their non-reducing ends. Complete degradation of glucuronans results in the formation of tetrasaccharides."
"3.2.1.96","glycopeptide-D-mannosyl-N4-(N-acetyl-D-glucosaminyl)2-asparagine 1,4-N-acetyl-beta-glucosaminohydrolase","Endohydrolysis of the N,N'-diacetylchitobiosyl unit in high-mannose glycopeptides and glycoproteins containing the -[Man(GlcNAc)2]Asn- structure. One N-acetyl-D-glucosamine residue remains attached to the protein; the rest of the oligosaccharide is released intact"
"3.2.1.119","(R)-vicianin beta-D-glucohydrolase","(R)-vicianin + H2O = mandelonitrile + vicianose [RN:R03642]"
"3.5.1.108","UDP-3-O-[(3R)-3-hydroxymyristoyl]-N-acetyl-alpha-D-glucosamine amidohydrolase","UDP-3-O-[(3R)-3-hydroxymyristoyl]-N-acetyl-alpha-D-glucosamine + H2O = UDP-3-O-[(3R)-3-hydroxymyristoyl]-alpha-D-glucosamine + acetate [RN:R04587]"
"3.2.1.171","rhamnogalacturonan alpha-D-GalA-(1->2)-alpha-L-Rha hydrolase","Endohydrolysis of alpha-D-GalA-(1->2)-alpha-L-Rha glycosidic bond in the rhamnogalacturonan I backbone with initial inversion of anomeric configuration releasing oligosaccharides with beta-D-GalA at the reducing end."
"3.2.1.22","alpha-D-galactoside galactohydrolase","Hydrolysis of terminal, non-reducing alpha-D-galactose residues in alpha-D-galactosides, including galactose oligosaccharides, galactomannans and galactolipids"
"2.4.99.3","CMP-N-acetylneuraminate:glycano-1,3-(N-acetyl-alpha-D-galactosaminyl)-glycoprotein alpha-2,6-N-acetylneuraminyltransferase","CMP-N-acetylneuraminate + glycano-(1->3)-(N-acetyl-alpha-D-galactosaminyl)-glycoprotein = CMP + glycano-[(2->6)-alpha-N-acetylneuraminyl]-(N-acetyl-D-galactosaminyl)-glycoprotein [RN:R05911]"
"4.2.2.15","glycoconjugate sialyl-lyase (2,7-cyclizing)","Elimination of alpha-sialyl groups in N-acetylneuraminic acid glycosides, releasing 2,7-anhydro-alpha-N-acetylneuraminate"
"2.4.1.225","UDP-alpha-D-glucuronate:N-acetyl-alpha-D-glucosaminyl-(1->4)-beta-D-glucuronosyl-proteoglycan 4-beta-glucuronosyltransferase","UDP-alpha-D-glucuronate + N-acetyl-alpha-D-glucosaminyl-(1->4)-beta-D-glucuronosyl-proteoglycan = UDP + beta-D-glucuronosyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-(1->4)-beta-D-glucuronosyl-proteoglycan [RN:R07335]"
"2.4.1.134","UDP-alpha-D-galactose:[protein]-3-O-(beta-D-galactosyl-(1->4)-beta-D-xylosyl)-L-serine (configuration-inverting)","UDP-alpha-D-galactose + [protein]-3-O-(beta-D-galactosyl-(1->4)-beta-D-xylosyl)-L-serine = UDP + [protein]-3-O-(beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-xylosyl)-L-serine [RN:R05927]"
"2.4.1.16","UDP-N-acetyl-alpha-D-glucosamine:chitin 4-beta-N-acetylglucosaminyltransferase (configuration-inverting)","UDP-N-acetyl-alpha-D-glucosamine + [(1->4)-N-acetyl-beta-D-glucosaminyl]n = UDP + [(1->4)-N-acetyl-beta-D-glucosaminyl]n+1 [RN:R02335 R06028]"
"2.4.1.129","[poly-N-acetyl-D-glucosaminyl-(1->4)-(N-acetyl-D-muramoylpentapeptide)]-diphosphoundecaprenol:[N-acetyl-D-glucosaminyl-(1->4)-N-acetyl-D-muramoylpentapeptide]-diphosphoundecaprenol disaccharidetransferase","[GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Ala)]n-diphosphoundecaprenol + GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Ala)-diphosphoundecaprenol = [GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Ala)]n+1-diphosphoundecaprenol + undecaprenyl diphosphate [RN:R06178 R06179]"
"2.4.99.16","alpha-maltose 1-phosphate:(1->4)-alpha-D-glucan 4-alpha-D-maltosyltransferase","alpha-maltose 1-phosphate + [(1->4)-alpha-D-glucosyl]n = phosphate + [(1->4)-alpha-D-glucosyl]n+2 [RN:R09994]"
"3.2.1.63","2-alpha-L-fucopyranosyl-beta-D-galactoside fucohydrolase","methyl-2-alpha-L-fucopyranosyl-beta-D-galactoside + H2O = L-fucose + methyl beta-D-galactoside [RN:R04270 R06118]"
"4.2.2.23","alpha-L-rhamnopyranosyl-(1->4)-alpha-D-galactopyranosyluronate endolyase","Endotype eliminative cleavage of L-alpha-rhamnopyranosyl-(1->4)-alpha-D-galactopyranosyluronic acid bonds of rhamnogalacturonan I domains in ramified hairy regions of pectin leaving L-rhamnopyranose at the reducing end and 4-deoxy-4,5-unsaturated D-galactopyranosyluronic acid at the non-reducing end."
"3.2.1.38","beta-D-fucoside fucohydrolase","Hydrolysis of terminal non-reducing beta-D-fucose residues in beta-D-fucosides"
"2.4.1.198","UDP-N-acetyl-alpha-D-glucosamine:1-phosphatidyl-1D-myo-inositol 6-(N-acetyl-alpha-D-glucosaminyl)transferase (configuration-retaining)","UDP-N-acetyl-alpha-D-glucosamine + 1-phosphatidyl-1D-myo-inositol = UDP + 6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol [RN:R02654 R05916]"
"3.2.1.92","peptidoglycan beta-N-acetylmuramoylexohydrolase","Hydrolysis of terminal, non-reducing N-acetylmuramic residues"
"3.2.1.31","beta-D-glucuronoside glucuronosohydrolase","a beta-D-glucuronoside + H2O = D-glucuronate + an alcohol [RN:R01478]"
"4.2.2.18","(2->1)-beta-D-fructan lyase (alpha-D-fructofuranose-beta-D-fructofuranose-1,2':2,3'-dianhydride-forming)","Produces alpha-D-fructofuranose beta-D-fructofuranose 1,2':2,3'-dianhydride (DFA III) by successively eliminating the diminishing (2->1)-beta-D-fructan (inulin) chain from the terminal D-fructosyl-D-fructosyl disaccharide."
"2.4.1.2","(1->4)-alpha-D-glucan:(1->6)-alpha-D-glucan 6-alpha-D-glucosyltransferase","[(1->4)-alpha-D-glucosyl]n + [(1->6)-alpha-D-glucosyl]m = [(1->4)-alpha-D-glucosyl]n-1 + [(1->6)-alpha-D-glucosyl]m+1 [RN:R02121 R06184]"
"1.14.99.55","starch, hydrogen-donor:oxygen oxidoreductase (D-glucosyl C1-hydroxylating)","starch + reduced acceptor + O2 = D-glucono-1,5-lactone-terminated malto-oligosaccharides + short-chain malto-oligosaccharides + acceptor + H2O"
"4.2.2.11","alginate alpha-L-guluronate---uronate lyase","Eliminative cleavage of alginate to give oligosaccharides with 4-deoxy-alpha-L-erythro-hex-4-enuronosyl groups at their non-reducing ends and alpha-L-guluronate at their reducing end."
"3.2.1.103","keratan-sulfate 4-beta-D-galactanohydrolase","Endohydrolysis of (1->4)-beta-D-galactosidic linkages in keratan sulfate [RN:R07805]"
